id,type,address,neighbourhood,rent,totalCost,area,bedrooms,bathrooms,parkingSpaces,isFurnished,segment,rentPerSqm
895509451,StudioOuKitchenette,Rua Vergueiro,Vila Mariana,2880,4192,26,0,1,0,True,studio_0q,110.77
893487044,StudioOuKitchenette,Rua Doutor Bacelar,Vila Clementino,2496,3300,26,0,1,0,True,studio_0q,96.0
895005346,StudioOuKitchenette,Avenida Santo Amaro,Jardim das Acacias,2080,2836,23,0,1,0,False,studio_0q,90.43
892948980,StudioOuKitchenette,Rua Serra de Bragança,Vila Gomes Cardim,2784,3394,35,0,1,1,False,studio_0q,79.54
894009139,StudioOuKitchenette,Rua João José Pacheco,Jardim Vila Mariana,2471,3246,22,0,1,0,True,studio_0q,112.32
894452833,StudioOuKitchenette,Rua Sena Madureira,Vila Clementino,2500,3040,27,0,1,0,False,studio_0q,92.59
894740583,StudioOuKitchenette,Avenida Vereador José Diniz,Santo Amaro,2580,3042,28,0,1,0,True,studio_0q,92.14
895152036,StudioOuKitchenette,Rua Dona Brígida,Vila Mariana,2600,3424,25,0,1,0,False,studio_0q,104.0
894084838,StudioOuKitchenette,Rua Stela Marina,Brooklin,4900,5739,25,0,1,0,True,studio_0q,196.0
894566299,StudioOuKitchenette,Rua Artur Prado,Bela Vista,2916,3454,26,0,1,0,False,studio_0q,112.15
895027061,StudioOuKitchenette,Rua Coronel Luís Barroso,Santo Amaro,2900,4278,70,0,1,1,False,studio_0q,41.43
894879177,StudioOuKitchenette,Rua Borges Lagoa,Vila Clementino,2890,3768,27,0,1,0,True,studio_0q,107.04
894621441,StudioOuKitchenette,Rua Laplace,Campo Belo,2500,3400,24,0,1,0,True,studio_0q,104.17
895229497,StudioOuKitchenette,Avenida Doutor Chucri Zaidan,Vila Cordeiro,4100,4758,24,0,1,0,False,studio_0q,170.83
894648810,StudioOuKitchenette,Rua Álvaro Guimarães,Bela Vista,6000,7253,32,0,1,1,True,studio_0q,187.5
895311121,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2570,3345,22,0,1,0,True,studio_0q,116.82
895287669,StudioOuKitchenette,Avenida Onze de Junho,Vila Clementino,3000,3716,25,0,1,1,False,studio_0q,120.0
895311124,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2570,3345,22,0,1,0,True,studio_0q,116.82
895181115,StudioOuKitchenette,Rua Coronel Lisboa,Vila Mariana,2100,2953,21,0,1,0,True,studio_0q,100.0
894728837,StudioOuKitchenette,Rua Gualaxo,Aclimação,2700,3248,27,0,1,0,True,studio_0q,100.0
895527598,StudioOuKitchenette,Rua Loefgren,Vila Clementino,2620,3135,26,0,1,0,True,studio_0q,100.77
895360749,StudioOuKitchenette,Rua Santo Amaro,Bela Vista,2852,3816,39,0,1,1,True,studio_0q,73.13
893073595,StudioOuKitchenette,Rua Tabatinguera,Sé,1850,2371,22,0,1,0,True,studio_0q,84.09
895425892,StudioOuKitchenette,Rua Estevão Baião,Vila Congonhas,3100,3587,34,0,1,0,False,studio_0q,91.18
895059720,StudioOuKitchenette,Rua Barata Ribeiro,Bela Vista,2510,3302,23,0,1,0,True,studio_0q,109.13
895629248,StudioOuKitchenette,Avenida da Liberdade,Liberdade,2050,2526,30,0,1,0,True,studio_0q,68.33
894088462,StudioOuKitchenette,Avenida Vereador José Diniz,Campo Belo,2100,3181,45,0,1,1,False,studio_0q,46.67
894734277,StudioOuKitchenette,Rua Coronel Lisboa,Vila Mariana,2800,3607,21,0,1,0,True,studio_0q,133.33
894698761,StudioOuKitchenette,Avenida Brigadeiro Luís Antônio,Bela Vista,1270,1379,18,0,1,0,False,studio_0q,70.56
894802662,StudioOuKitchenette,Rua João de Lacerda Soares,Jardim das Acacias,3300,3875,31,0,1,0,False,studio_0q,106.45
894885888,StudioOuKitchenette,Rua Cancioneiro de Évora,Santo Amaro,2590,3436,25,0,1,0,True,studio_0q,103.6
894857700,StudioOuKitchenette,Rua Alexandre Dumas,Chácara Santo Antônio (zona Sul),3350,4138,25,0,1,0,True,studio_0q,134.0
894386103,StudioOuKitchenette,Rua Stela Marina,Campo Belo,5900,6757,24,0,1,1,True,studio_0q,245.83
894139400,StudioOuKitchenette,Rua Joaquim Oliveira Freitas,Vila Mangalot,1350,1462,30,0,1,0,False,studio_0q,45.0
893914744,StudioOuKitchenette,Rua da Consolação,República,2150,2868,21,0,1,0,True,studio_0q,102.38
894025612,StudioOuKitchenette,Avenida Vereador José Diniz,Santo Amaro,3500,4037,25,0,1,0,True,studio_0q,140.0
895585509,StudioOuKitchenette,Avenida Jabaquara,Mirandópolis,4000,4654,28,0,1,0,True,studio_0q,142.86
893976325,StudioOuKitchenette,Rua Dráusio,Butantã,2580,3171,28,0,1,0,False,studio_0q,92.14
894135972,StudioOuKitchenette,Rua Stela Marina,Brooklin Paulista,2558,3287,24,0,1,0,True,studio_0q,106.58
895311546,StudioOuKitchenette,Rua João de Sousa Dias,Campo Belo,3000,3752,28,0,1,0,True,studio_0q,107.14
894646605,StudioOuKitchenette,Rua Artur Prado,Paraíso,3450,3983,26,0,1,0,True,studio_0q,132.69
895311304,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2570,3345,22,0,1,0,True,studio_0q,116.82
895244864,StudioOuKitchenette,Rua Professor Doutor José Marques da Cruz,Jardim das Acacias,2580,3281,26,0,1,0,True,studio_0q,99.23
894643427,StudioOuKitchenette,Avenida General Ataliba Leonel,Santana,1450,3730,35,0,1,1,False,studio_0q,41.43
894551894,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2750,3506,22,0,1,0,True,studio_0q,125.0
895592007,StudioOuKitchenette,Rua José de Albuquerque,Tucuruvi,2990,3627,29,0,1,0,True,studio_0q,103.1
895433676,StudioOuKitchenette,Rua Tabatinguera,Sé,1470,2172,23,0,1,0,False,studio_0q,63.91
894809933,StudioOuKitchenette,Rua Doutor Penaforte Mendes,Bela Vista,10000,11011,26,0,1,1,True,studio_0q,384.62
895310445,StudioOuKitchenette,Rua das Sempre-vivas,Jardim das Acacias,2570,3345,22,0,1,0,True,studio_0q,116.82
895351930,StudioOuKitchenette,Rua Galileu,Jardim Aeroporto,2160,2660,40,0,1,0,False,studio_0q,54.0
895172320,StudioOuKitchenette,Rua Galofre,Chácara Klabin,2160,2847,24,0,1,0,False,studio_0q,90.0
895463871,StudioOuKitchenette,Viaduto Santa Generosa,Paraíso,3020,3679,26,0,1,0,True,studio_0q,116.15
894510839,StudioOuKitchenette,Av. Santo Amaro,Santo Amaro,1950,2909,29,0,1,0,True,studio_0q,67.24
894915369,StudioOuKitchenette,Rua Joaquim Guarani,Jardim das Acacias,3040,3614,19,0,1,0,True,studio_0q,160.0
894406917,StudioOuKitchenette,Rua Pedro Taques,Consolação,3400,4032,30,0,1,0,True,studio_0q,113.33
894668852,StudioOuKitchenette,Rua Senador Milton Campos,Santo Amaro,2392,3134,23,0,1,0,False,studio_0q,104.0
894744025,StudioOuKitchenette,Rua Doutor Bacelar,Vila Clementino,5000,5753,26,0,1,0,True,studio_0q,192.31
894723186,StudioOuKitchenette,Viaduto Santa Generosa,Paraíso,3500,4105,20,0,1,0,True,studio_0q,175.0
